label,full_text
Offensive,""" i need a trippy bitch who fuck on Hennessy """
Offensive,""" i spend my money how i want bitch its my business """
Offensive,""" i txt my old bitch my new bitch pussy wetter """
Offensive,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;"
Offensive,""" if you aint bout that Murder Game pussy nigga shut up """
Offensive,""" if you're toes ain't done you pussy stinks """
Offensive,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """
Offensive,""" is that ya bitch """
Offensive,""" it aint nothing to cut a bitch off """
Offensive,""" jus meet son now he ya mane ass bitches "" #Shots"
Offensive,""" lames crying over hoes thats tears of a clown """
Offensive,""" like Snoop said in 94 we dont love these hoes """
Non-offensive,""" momma said no pussy cats inside my doghouse """
Offensive,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC"
Offensive,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U"
Offensive,""" pimps up pimps up hoes down "" Future voice"
Offensive,""" post a picture of that pussy get 200 likes """
Offensive,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b"
Offensive,""" quick piece of pussy call it a drive by """
Offensive,""" running round here like some brand new pussy thats bout to get fucked """
Offensive,""" these bitches even worst they'll send them guys for you """
Offensive,""" these hoes like niggas that spend money not talk bout it """
Offensive,""" we dont trust these niggas all these bitches """
Offensive,""" yall niggas b cuffing hoes cause yall aint never have bitches """
Offensive,""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;"
Offensive,""" young Pill Chamberlain these bitches love my music """
Offensive,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but........."""
Offensive,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight"""
Offensive,"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it"""
Offensive,"""&amp; he's gone always be a hoe"""
Offensive,"""...Son of a bitch took my Tic Tacs.""

I like this movie."
Offensive,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons"
Offensive,"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet"
Offensive,"""@A7XDemery: I'm a fucking fag they said"""
Offensive,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?"
Non-offensive,"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad"
Offensive,"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes"
Offensive,"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!"
Non-offensive,"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles"
Non-offensive,"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol"
Offensive,"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S"
Offensive,"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?"
Non-offensive,"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao"
Offensive,"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch"
Offensive,"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!"
Offensive,"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit"""
Offensive,"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn"
Non-offensive,"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!"
Offensive,"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol"
Offensive,"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance"
Offensive,"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol"
Offensive,"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !"""
Offensive,"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples"
Offensive,"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches.."
Offensive,"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof"
Offensive,"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe"
Offensive,"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her"
Offensive,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad"
Offensive,"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol"
Offensive,"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE"
Offensive,"""@CASHandBOOBIES: I been kidnapped yo bitch"""
Offensive,"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican"
Offensive,"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo"
Offensive,"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!"
Offensive,"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h"
Offensive,"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?"""
Offensive,"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig"
Offensive,"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it."""
Offensive,"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old"
Offensive,"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard"
Offensive,"""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople"
Offensive,"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy"
Offensive,"""@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh"
Offensive,"""@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz"
Offensive,"""@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again"
Offensive,"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds."""
Offensive,"""@ComedyTruth: amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh"
Offensive,"""@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;"""
Offensive,"""@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""""""

&#128533;"
Offensive,"""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands"
Offensive,"""@DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch"
Offensive,"""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow"
Offensive,"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn"
Offensive,"""@DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows"
Offensive,"""@Dietrich1892: Yall shut up:p"" make me bitch"
Offensive,"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch."""
Offensive,"""@DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3"
Non-offensive,"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started"
Offensive,"""@Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu.."""
Offensive,"""@DreadheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL"
Non-offensive,"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms."""
Non-offensive,"""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day."
Non-offensive,"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures."
Offensive,"""@Ferocious_Ghost: @1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol"
Non-offensive,"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha"
Offensive,"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot"
Non-offensive,"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup"
Offensive,"""@G27Status: I could go for a fat ass bitch on my lap"" same"
Offensive,"""@GEDMelle: 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle"
Offensive,"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;"
Offensive,"""@GagaTom1: &#8220;@MaleFoot: 3 | Amo los pies http://t.co/4QE1hDkK8i&#8221;"" fuck yeah"
Offensive,"""@GirlThatsVonte: These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh"
Offensive,"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;"
Offensive,"""@GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit"
Offensive,"""@Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck"
Offensive,"""@Gizzy_Jones94: If she kiss u with her eyes open watch that bitch!""lmfao"
Offensive,"""@Goofstroop: You a woulda coulda shoulda ass hoe &#128563;&#128586;"""
Offensive,"""@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!"
Offensive,"""@HBMostDope: @1Jayee @PipinHoes used to send that bitch up"""
Offensive,"""@HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;"""
Offensive,"""@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao"
Offensive,"""@HeartlessFuck: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em."""
Non-offensive,"""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc"
Offensive,"""@HiImJoriB: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?"
Offensive,"""@HornyFacts: Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu"
Offensive,"""@HoskinsTy96: White boy power bitch"" black power bitch"
Offensive,"""@Hudgens_11: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill."
Offensive,"""@IScoutGirls: @verbally_abrupt bitch where u been"" Around the world and back. Where you been?"
Offensive,"""@ItsYahBoiRay: @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *"
Offensive,"""@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot."""
Offensive,"""@JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe"
Non-offensive,"""@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs"
Offensive,"""@JamesyNBA: I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do"
Offensive,"""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy"
Offensive,"""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3"
Offensive,"""@JoeBudden: stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH"
Offensive,"""@Johnny55Perez: @white_thunduh ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig"
Offensive,"""@KazAtta: @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed"
Offensive,"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch"""
Offensive,"""@KeyshawnSwag: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!"
Non-offensive,"""@KeyshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?"
Offensive,"""@KingCuh: @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha"
Offensive,"""@KingHendo95: @VonDreaam naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!"
Offensive,"""@KingTeej_: Ol dirty foot ass bitches.."" this was too funny to me."
Offensive,"""@King_Shawn_6: @white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524;"" HELL YEAH NIGGY"
Offensive,"""@KissMySmilee: Don't got time for bitches to be actin iffy."""
Non-offensive,"""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT"
Offensive,"""@KyraNadiya_: These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl""

Smfh &amp; wonder why nobody decent wants them"
Offensive,"""@LCisTJ: Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!"
Offensive,"""@LODYCASH: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;"
Offensive,"""@LUNAraps: shut yo bitch ass up! https://t.co/IemN1u0gm5"" &#128557;&#128514;"
Offensive,"""@LaFlareGodJosh: Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back"""
Offensive,"""@Latrobemark: You love these hoes more then money wats wrong these niggas"""
Offensive,"""@LeBronVuitton: A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol"
Offensive,"""@LiLFridayHOE: Easy cum, easy hoe"" That's a fact !"
Offensive,"""@LifeAsBros: Charlie Sheen is too real http://t.co/gGGdK3kOV7"" major fucking respect for Charlie Sheen."
Offensive,"""@Lightskingawdd: Wish I had a bae &#128533;""

You got all the hoes tho"
Offensive,"""@Lil_Mike_12: Fuck twerking bitch can you cook ?"""
Offensive,"""@Linniekravitz: @WesGodLaFlare bitch wtf"" http://t.co/DaSmycxODB"
Offensive,"""@Lipe_the_Great: &#8220;@h0rheyd: ""@Lipe_the_Great: Shut up zoe"" fight me pussy&#8221; for zoe? I'm good, man."" You are good ma'am. Move along now"
Offensive,"""@LolaaIsDope: Lmao fucking snake bitches"" @ em"
Offensive,"""@Loveable_Aizah: Big booty hoes everywhere sheesh &#128525;"" damn &#127807;&#128064;&#127807;"
Non-offensive,"""@MLBNetwork: Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks"" @dliming35 #bum"
Non-offensive,"""@M_Rad: &#8220;@DezDLT: ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/tYCIhD6PkW&#8221; yes lmfao""@soccerboy_04"
Offensive,"""@MadFlyentist: Oregon chokes every year get off the field trash ass program"" RFT"
Offensive,"""@MannyDiesel: Def not cowboy lol RT @ArtofFloyd: Terrell Owens was the best Eagle &amp; Cowboy ever"" ..dude cried like a bitch on tv, over Romo"
Offensive,"""@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers"
Offensive,"""@Master11_: @20ToLife_ @GabrielaStarr How could u do this to me bitch"" potent"
Non-offensive,"""@MaxMayo77: http://t.co/3Jk4kR44X3"" a pissed lad past out. I would lick his dirty soles while he slept."
Non-offensive,"""@MaxMayo77: http://t.co/PrrskknqRv"" love frat boy w/ soft long soles"
Non-offensive,"""@MaxMayo77: http://t.co/XpSC3makgJ"" sexy lad with hot soles and arches."
Offensive,"""@MegamindNick: @white_thunduh nah fam I gotta cheat with the hoes"" depends on the female i feel"
Non-offensive,"""@Mesha_nojas: @_Vontethekidd &#128079;&#128079;&#128079;&#128079;&#128588;"" I got hicks lol"
Offensive,"""@Migsmichelen: This new twitter is confusing the shit out of me."" Go back to south america bitch"
Offensive,"""@Miikito_x3: Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy"
Offensive,"""@MikelaHenry: but what if he actually does choose the ugly bitch over you? &#58381;""Her ass must be fat!"
Offensive,"""@MileyCyrus: bitch couldn't kill my vibe if ya tried. &#127752;&#127752;&#127752;"" dis why i love miley :*"
Offensive,"""@Montrell_: I'm tired of bitches saying I look mean.. &#128530;"" nigga you big af, wear tight shirts, and grim everybody."
Non-offensive,"""@MotherJones: 10 birds your grandkids may never see, thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm"" #Climate"
Offensive,"""@MvckFadden: ""Stay beautiful you bitch"""""
Offensive,"""@NICKIMINAJ: #WutKinda

r purple. Ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. But in still shitted on sum gurls"
Offensive,"""@NastyCopper: Money getting taller and bitches getting blurry"""
Offensive,"""@NewsomeJade: I ain't never seen a bitch so obsessed with they nigga&#128514;"" I'm obsessed with mine &#128529;"
Offensive,"""@Nicholas_ted33: Kobe stay talking trash. But let's not forget http://t.co/VH4tnEkvTP"" @J_Austin12 I meant to do this one. Smh."
Offensive,"""@NoChillPaz: ""At least I'm not a nigger"" http://t.co/RGJa7CfoiT""

Lmfao"
Offensive,"""@No_FAKINGG: People always asking me what I'm mixed with."" She a bad asian bitch lol"
Offensive,"""@NotoriousBM95: @_WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo"
Non-offensive,"""@OSAY_it_aint_so: &#8220;@IgnoreAllLaws: Fosters home for imaginary trash&#8221; WHOA CHILL""

that show was everything tf"
Offensive,"""@OfficialReplay: I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!"
Offensive,"""@PRAYINGFORHEAD: &#8220;@macklemroe: Stop bringing weird niggers into my mentions! @PRAYINGFORHEAD&#8221; http://t.co/cussDJesRK"""
Offensive,"""@PRETTyBOSs_BRAt: We don't love these hoes &#128080;&#128581;"""
Offensive,"""@PatrickQuelo: If yo girl cant have homeboys you a ol weak bitch ass nigga!"""
Offensive,"""@Patsfanjoe32: @d_palomino52 I think worst advice I gave you was "" don't be a pussy and speed up"" lol"""
Offensive,"""@PoemsPorn: Quote this tweet with your favorite animal.""pussy"
Offensive,"""@Poetic_Success: I hate when strippers tell you they're ""dancers"". Hoe, ballet dancers don't pop their pussy to Beethoven. You a STRIPPER!"""
Offensive,"""@Poffalicious: Andrewbryant: Poff has double vision after 2 beers
Poff: ... Double pussy &#128526;"" smh"
Offensive,"""@Poobie_: When bitches TWERK on the computer....

ME: ""In ya &#128089;, in ya damn &#128089;&#8252;&#65039;"""""
Offensive,"""@ProdsJewel_: &#8220;@sreadthepeace: &#8220;@yungmindless: @PeacePunkPrince Prince, THIS is art. http://t.co/EPHRWxMBHr&#8221; nobody takin his bitch!"
Non-offensive,"""@QUAN1T0: 61% of welfare/government aid is claimed by white people. So y'all black slander is trash now."""
Offensive,"""@QUAN1T0: These bitches don't care they just play that role."""
Offensive,"""@Queen_Kaaat: It took a while for you to find me, but I was hiding In the lime tree.""
@Iemonaids dis bitch in da wrong tree bro."
Offensive,"""@RTNBA: Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes http://t.co/QCtPLxHEXM"" ....dudes a fag"
Non-offensive,"""@RachieSoul: @DizzleOfficial inna di ghetto!!!"" You alone lmaoo"
Non-offensive,"""@RamBoutIt: &#8220;@Master11_: @20ToLife_ @RamBoutIt hoes Austin&#8221; teach us Austin.""I teach u how to get curved? That's all I know"
Offensive,"""@ReachtheeCLIMAX: bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!"
Offensive,"""@RenegadeMo: Fat hoes get chose"" lol"
Offensive,"""@RiahSM: #hoesaintloyal"" well they're hoes,no one expects them to be loyal"
Offensive,"""@RishaaWilliams: @TRESHON_SCROOGE @_Nevertrustt ol bitch ass"" http://t.co/AmcOinY0wG"
Offensive,"""@RnadJorell: Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad"" lmaooo"
Offensive,"""@SacTownProdigy: Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls"" lol bitch fuck you"
Offensive,"""@SamJLayman : Holy shit, Freddie Highmore was in Charlie and the Chocolate Factory""
Me: *rolls on the floor, laughing*"
Offensive,"""@Samirahusic_: ""I don't want to have sex with my gf because I feel like I'm using her.."" - anonymous"" Whata faggot"
Offensive,"""@SexualGxfs: @ One of your followers with this &#128525;&#128553; http://t.co/F1TJl9xnCT"" @ somebody, bitch if you don't"
Offensive,"""@Shaa_Jenkins: If ya bitch always bitching clearly she care!"" Or just an annoying Bitch!"
Offensive,"""@ShanTaughtHer: These catfish hoes thinkin they slick.. But niggas catching on &#128524;"""
Offensive,"""@SheWentToJordan: Can't worry about a bitch that ain't worried bout me"" #real"
Offensive,"""@ShowArrive: Side hoes are for insecure niggas that can't handle a real one."""
Offensive,"""@Shun_stokes: &#128514;&#128514;&#128514;&#128514;RT @bluprint_4: Lmao! This bitch come scooting in the tent like she about to fuck some shit up!"" &#128557;&#128557;&#128557;"
Offensive,"""@Shun_stokes: My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers &#128514;"""
Offensive,"""@SlimGirl_Probz: i'm hungry but ionn wanna spend my money on food&#128530;""Broke hoe problems &#128514;&#128514;&#128514;&#128128;"
Offensive,"""@SmeegBaby: Dese hoes be LYIN to all of us nigga"""
Offensive,"""@SnakecharmsDump: http://t.co/4b427dQZCV"" oh yeah fuck that bitch"
Non-offensive,"""@SportsCenter: Eli Manning just threw his NFL-leading 27th interception of the season."" Lmao trash"
Non-offensive,"""@SportsCenter: USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team. &#187; http://t.co/JOOsdSubIR"" he's a bitch"
Offensive,"""@StellaTex: Guess what? I also have zero time for your mansplaining! Adios!"" Stfu pussy"
Non-offensive,"""@Stephenwildboy: Chilling &#128069;&#8482; http://t.co/mik3iPNle6"" sexy scally lad"
Offensive,"""@Strap__: I ain't sharing no bitch if you mines you mines &#128175;"""
Offensive,"""@SukMySweetness: money only impress the simple broke bitches"""
Offensive,"""@Sylvieamx: #Pisces will never be anybody's bitch, they don't let people control or change them."" Rigghhht"
Non-offensive,"""@TEE_JONEZ: @16stanleys @KingCuh tuku ho idk blah blah blah"" &#128514;&#128514;&#128514;"
Non-offensive,"""@TEE_JONEZ: @KingCuh @16stanleys I'm not mad cuh hahaha"" suure.. tuku ho ita! &#128514;&#128514;"
Offensive,"""@TayKnosBest: These hoes is crazy"""
Offensive,"""@Taylorr_Babee: You ain't ever gonna be a slice bitch."" Kevin hart. (:"
Offensive,"""@ThatniggaTroy: Oomf so fuckin fine tho &#128553; dam"" @ her, don't be no bitch."
Offensive,"""@TheGamerKingKev: I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags"
Offensive,"""@TheNewSAT: #NewSATQuestions
Yeah bitch, yeah bitch, call me _______:
a.) Maybe
b.) Steve-O
c.) Later
d.) Jesse Pinkman""
@machinegunkelly"
Offensive,"""@TheNymphoTweets: Hickies in between her thighs right by her pussy &gt;&gt;&gt;"" Its only right"
Offensive,"""@TheOneMiss_Luu: Would you still love me when I'm no longer young and beautiful?"" No. Ugly monkey ass."
Offensive,"""@TheRealRickyB21: @JetsAndASwisher @Gook____ y'all come through the front.""bitch I ain't coming"
Offensive,"""@TheRealRickyB21: @JetsAndASwisher faggot bitch"" http://t.co/2HyyAbk4eH"
Offensive,"""@The_Realist_Sam: @Madrid2_ yea, I'm on my iPad. I don't work this Friday. Let's ball this faggot up @TropicalBlanket""i work 2-5"
Non-offensive,"""@Theo17100: http://t.co/BYj1HOyhmG"" this scally lad would get it"
Offensive,"""@TheoMaxximus: #GerrysHalloweenParty http://t.co/3ycrSrnjHc"" Halloween was yesterday stupid nigger"
Offensive,"""@TheoMaxximus: Chrus still supahot tho"" *walks up to teacher with test, drops test in that bitch fohead* http://t.co/nb5VgdssgI"
